Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;
83377;05/05/1964;0000;;21.6;;
83377;05/05/1964;1200;0;;18.2;
83377;06/05/1964;0000;;26.7;;
83377;06/05/1964;1200;0.1;;16.6;
83377;07/05/1964;0000;;23.2;;
83377;07/05/1964;1200;14;;16.7;
83377;08/05/1964;0000;;25.1;;
83377;08/05/1964;1200;0;;18.4;
83377;09/05/1964;0000;;25.5;;
83377;09/05/1964;1200;0;;17.3;
83377;10/05/1964;0000;;26.7;;
83377;10/05/1964;1200;0;;16.6;
83377;11/05/1964;0000;;26.2;;
83377;11/05/1964;1200;0;;16;
83377;12/05/1964;0000;;26.1;;
83377;12/05/1964;1200;0;;16;
83377;13/05/1964;0000;;26.8;;
83377;13/05/1964;1200;0;;16.2;
83377;14/05/1964;0000;;26.1;;
83377;14/05/1964;1200;0;;16.2;
83377;15/05/1964;0000;;25.2;;
83377;15/05/1964;1200;16.2;;16.2;
83377;16/05/1964;0000;;24.3;;
83377;16/05/1964;1200;0;;15;
83377;17/05/1964;0000;;23.3;;
83377;17/05/1964;1200;0;;13.4;
83377;18/05/1964;0000;;24.5;;
83377;18/05/1964;1200;0;;12.2;
83377;19/05/1964;0000;;24.4;;
83377;19/05/1964;1200;0;;14.8;
83377;20/05/1964;0000;;23.3;;
83377;20/05/1964;1200;0;;15;
83377;21/05/1964;0000;;25.1;;
83377;21/05/1964;1200;2.8;;16.8;
83377;22/05/1964;0000;;25.3;;
83377;22/05/1964;1200;2.8;;16.4;
83377;23/05/1964;0000;;25.6;;
83377;23/05/1964;1200;1.2;;15.7;
83377;24/05/1964;0000;;24.8;;
83377;24/05/1964;1200;0;;15.3;
83377;25/05/1964;0000;;24.8;;
83377;25/05/1964;1200;0;;14.4;
83377;26/05/1964;0000;;24.4;;
83377;26/05/1964;1200;0;;12.7;
83377;27/05/1964;0000;;24.1;;
83377;27/05/1964;1200;0;;13.2;
83377;28/05/1964;0000;;23.8;;
83377;28/05/1964;1200;0;;12.8;
83377;29/05/1964;0000;;24.4;;
83377;29/05/1964;1200;0;;12.7;
83377;30/05/1964;0000;;23.7;;
83377;30/05/1964;1200;0;;12.4;
83377;31/05/1964;0000;;20.4;;
83377;31/05/1964;1200;0;;12.2;
83377;01/06/1964;0000;;19.6;;
83377;01/06/1964;1200;0;;8.2;
83377;02/06/1964;0000;;21;;
83377;02/06/1964;1200;0;;8.9;
83377;03/06/1964;0000;;22.4;;
83377;03/06/1964;1200;0;;10.3;
83377;04/06/1964;0000;;24;;
83377;04/06/1964;1200;0;;11.1;
83377;05/06/1964;0000;;24.3;;
83377;05/06/1964;1200;0;;11.5;
83377;06/06/1964;0000;;25.7;;
83377;06/06/1964;1200;0;;12.2;
83377;07/06/1964;0000;;25.7;;
83377;07/06/1964;1200;0;;10.8;
83377;08/06/1964;0000;;25.4;;
83377;08/06/1964;1200;0;;12.7;
83377;09/06/1964;0000;;26.2;;
83377;09/06/1964;1200;0;;13.5;
83377;10/06/1964;0000;;25.4;;
83377;10/06/1964;1200;0;;13.3;
83377;11/06/1964;0000;;25;;
83377;11/06/1964;1200;0;;13.1;
83377;12/06/1964;0000;;24.8;;
83377;12/06/1964;1200;0;;11.7;
83377;13/06/1964;0000;;25;;
83377;13/06/1964;1200;0;;11.2;
83377;14/06/1964;0000;;25.6;;
83377;14/06/1964;1200;0;;11.3;
83377;15/06/1964;0000;;26.5;;
83377;15/06/1964;1200;0;;11.1;
83377;16/06/1964;0000;;27.2;;
83377;16/06/1964;1200;0;;13.5;
83377;17/06/1964;0000;;26.9;;
83377;17/06/1964;1200;0;;13.5;
83377;18/06/1964;0000;;25.2;;
83377;18/06/1964;1200;0;;11.7;
83377;19/06/1964;0000;;26;;
83377;19/06/1964;1200;0;;12.9;
83377;20/06/1964;0000;;24.5;;
83377;20/06/1964;1200;0;;12.5;
83377;21/06/1964;0000;;25.6;;
83377;21/06/1964;1200;0;;12.3;
83377;22/06/1964;0000;;23.3;;
83377;22/06/1964;1200;0;;13.5;
83377;23/06/1964;0000;;24;;
83377;23/06/1964;1200;0;;11.1;
83377;24/06/1964;0000;;24;;
83377;24/06/1964;1200;0;;13.3;
83377;25/06/1964;0000;;26;;
83377;25/06/1964;1200;0;;11.9;
83377;26/06/1964;0000;;25;;
83377;26/06/1964;1200;0;;13.3;
83377;27/06/1964;0000;;25.8;;
83377;27/06/1964;1200;0;;13.9;
83377;28/06/1964;0000;;25.1;;
83377;28/06/1964;1200;0;;13.3;
83377;29/06/1964;0000;;26.4;;
83377;29/06/1964;1200;0;;14.5;
83377;30/06/1964;0000;;25.9;;
83377;30/06/1964;1200;0;;13.1;
83377;01/07/1964;0000;;24.6;;
83377;01/07/1964;1200;0;;12.7;
83377;02/07/1964;0000;;24.9;;
83377;02/07/1964;1200;0;;12.2;
83377;03/07/1964;0000;;25.9;;
83377;03/07/1964;1200;0;;12.8;
83377;04/07/1964;0000;;25.3;;
83377;04/07/1964;1200;0;;13.2;
